"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"Benedict College","Private","4 Year",6200,16600,16600,38100,67500,19,99.51
"Tougaloo College","Private","4 Year",6643,10790,10790,36900,66400,18,99.11
"Miles College","Private","4 Year",7042,11604,11604,34800,65100,19,98.09
"Rust College","Private","4 Year",4300,9900,9900,34800,62400,32,96.16
"Alcorn State University","Public","4 Year",9608,7144,7144,40900,69500,19,95.60
"South Carolina State University","Public","4 Year",9890,11060,21750,44500,80800,16,95.29
"Morehouse College","Private","4 Year",13438,27574,27574,55700,98700,26,95.16
"University of Arkansas at Pine Bluff","Public","4 Year",7881,7842,14094,40500,70500,22,93.71
"Dillard University","Private","4 Year",10100,18099,18099,44700,79800,20,93.58
"Grambling State University","Public","4 Year",7192,7435,16458,43100,73100,10,93.47
"Philander Smith College","Private","4 Year",8250,12414,12414,34600,61200,26,93.47
"Mississippi Valley State University","Public","4 Year",8043,6570,6570,32500,61900,11,93.25
"Alabama State University","Public","4 Year",5422,11068,19396,39800,71500,16,92.50
"Hampton University","Private","4 Year",11778,26702,26702,52700,92600,12,92.17
"Jackson State University","Public","4 Year",9552,8226,19454,41700,74600,16,91.59
"Prairie View A&M University","Public","4 Year",8925,10533,24843,57800,99400,22,90.76
"Bowie State University","Public","4 Year",10904,8233,18873,50300,89900,11,90.64
"Spelman College","Private","4 Year",13865,29314,29314,50200,85400,24,90.16
"Fisk University","Private","4 Year",10790,21480,21480,45300,83600,39,89.38
"Xavier University of Louisiana","Private","4 Year",9047,24488,24488,46700,88200,35,88.41
"Virginia State University","Public","4 Year",11208,9056,19576,44900,81800,14,87.98
"Oakwood University","Private","4 Year",9312,16720,16720,43500,78800,16,87.47
"Southern University at New Orleans","Public","4 Year",9040,9371,11160,40100,71000,13,85.45
"Clark Atlanta University","Private","4 Year",9524,23436,23436,46300,81100,15,85.28
"Langston University","Public","4 Year",9476,5950,13300,46500,81500,8,82.07
"Bloomfield College","Private","4 Year",11950,29550,29550,48400,89100,17,80.59
"Florida International University","Public","4 Year",10882,6558,18956,49600,90100,16,80.15
"Tuskegee University","Private","4 Year",9650,22170,22170,54500,93500,30,77.51
"Delaware State University","Public","4 Year",12190,7868,16904,46300,81900,10,76.55
"University of Hawaii at Hilo","Public","4 Year",11406,7720,20680,44000,77200,14,72.60
"Tennessee State University","Public","4 Year",7806,8008,21364,47200,78400,14,69.16
"New Mexico Highlands University","Public","4 Year",7872,6150,10302,40400,73800,4,67.03
"Chaminade University of Honolulu","Private","4 Year",13630,25374,25374,45400,84000,3,63.79
"Saint Peter's University","Private","4 Year",15414,37486,37486,52900,95900,14,63.57
"San Jose State University","Public","4 Year",16442,7796,17300,63000,114700,28,63.16
"St. Mary's University","Private","4 Year",10270,30650,30650,52900,95300,17,62.98
"New Jersey City University","Public","4 Year",12738,12051,21573,48700,87600,9,61.75
"Belhaven University","Private","4 Year",8500,25300,25300,41200,74300,2,60.96
"University of Houston","Public","4 Year",10270,12506,27956,56000,103900,24,60.24
"Georgia State University","Public","4 Year",11378,10858,29432,50600,90800,18,59.39
"Kentucky State University","Public","4 Year",6690,8090,19390,40700,73100,13,57.89
"Nova Southeastern University","Private","4 Year",13250,30900,30900,50200,89800,9,55.90
"Hawaii Pacific University","Private","4 Year",14800,25980,25980,52200,93500,15,54.38
"North Carolina Wesleyan College","Private","4 Year",10800,31000,31000,45300,78800,8,53.10
"Felician University","Private","4 Year",12880,34315,34315,53200,98200,10,53.00
"Agnes Scott College","Private","4 Year",12330,41160,41160,46000,83600,26,52.92
"University of Baltimore","Public","4 Year",0,8958,21076,51000,89600,2,52.57
"Barry University","Private","4 Year",11100,29850,29850,47400,84400,12,52.02
"Kean University","Public","4 Year",14470,12348,19383,48200,90000,10,51.24
"Limestone College","Private","4 Year",9765,26000,26000,42100,76500,10,51.24
"Florida Atlantic University","Public","4 Year",11896,6039,21595,49400,91200,15,50.39
"Faulkner University","Private","4 Year",7750,21690,21690,39400,71300,2,50.19
"Albertus Magnus College","Private","4 Year",13200,32060,32060,49700,85900,2,49.48
"Western New Mexico University","Public","4 Year",9136,6824,15231,41700,76700,4,49.34
"Webster University","Private","4 Year",11050,27900,27900,46500,83500,2,49.01
"Francis Marion University","Public","4 Year",7948,11160,21544,42900,77600,18,48.99
"University of Illinois at Chicago","Public","4 Year",12074,13764,26980,56300,103800,31,48.51
"University of West Alabama","Public","4 Year",8116,10040,18490,42700,76100,4,47.46
"William Paterson University of New Jersey","Public","4 Year",11445,13060,21260,50500,90200,7,47.19
"Loyola Marymount University","Private","4 Year",14490,48522,48522,58500,113300,9,46.99
"University of San Francisco","Private","4 Year",14830,48066,48066,60600,109900,6,46.72
"Columbus State University","Public","4 Year",9880,7200,20682,43300,77900,10,45.95
"Andrews University","Private","4 Year",9078,29288,29288,47600,85000,7,45.90
"University of Houston-Clear Lake","Public","4 Year",0,8500,24731,50700,94800,29,45.75
"New Jersey Institute of Technology","Public","4 Year",13600,17338,32750,64600,121300,75,45.32
"Northeastern State University","Public","4 Year",7638,6650,14720,44500,77600,7,45.32
"Menlo College","Private","4 Year",14225,42800,42800,61900,112400,0,45.21
"Christian Brothers University","Private","4 Year",7400,32820,32820,51500,96500,14,44.99
"Saint Xavier University","Private","4 Year",11340,33880,33880,49400,91200,10,43.83
"Saint Mary's College of California","Private","4 Year",15370,47280,47280,59900,110800,5,43.82
"University of Memphis","Public","4 Year",9975,9701,21413,47200,85800,12,43.81
"Troy University","Public","4 Year",8185,12460,22875,44500,81500,8,43.56
"Swarthmore College","Private","4 Year",15474,52588,52588,67500,123200,45,43.51
"Wellesley College","Private","4 Year",16468,53732,53732,58900,106200,34,43.48
"Amherst College","Private","4 Year",14740,56426,56426,63800,116500,32,43.47
"University of West Georgia","Public","4 Year",10918,7292,20774,46700,82700,9,43.45
"Lamar University","Public","4 Year",8920,10192,22642,53300,101200,16,42.99
"Mid-America Christian University","Private","4 Year",8036,18334,18334,40700,74100,0,42.86
"Mercer University","Private","4 Year",11616,36894,36894,48500,85100,14,42.64
"Cameron University","Public","4 Year",5452,6450,15870,43900,81500,14,42.57
"Southern Adventist University","Private","4 Year",6940,21950,21950,47500,84000,9,42.49
