"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Carver College","Private","GA","4 Year",6600,13475,13475,100.0
"College of the Muscogee Nation","Public","OK","2 Year",9045,6593,15008,100.0
"Haskell Indian Nations University","Public","KS","4 Year",950,480,480,100.0
"Lane College","Private","TN","4 Year",7270,10690,10690,100.0
"Morris College","Private","SC","4 Year",6033,13886,13886,99.62
"Navajo Technical University","Public","NM","2 Year",6270,2360,2360,99.57
"Allen University","Private","SC","4 Year",7230,13340,13340,99.55
"Benedict College","Private","SC","4 Year",6200,16600,16600,99.51
"Dine College","Public","AZ","2 Year",4610,1410,1410,99.26
"Tougaloo College","Private","MS","4 Year",6643,10790,10790,99.11
"Virginia University of Lynchburg","Private","VA","4 Year",9400,9000,9000,99.07
"LeMoyne-Owen College","Private","TN","4 Year",6100,11196,11196,98.71
"Huntsville Bible College","Private","AL","4 Year",0,5390,5390,98.55
"Little Big Horn College","Private","MT","2 Year",0,3200,3200,98.48
"Voorhees College","Private","SC","4 Year",7346,12630,12630,98.29
"Laredo Community College","Public","TX","2 Year",0,4080,7140,98.13
"Carolina Christian College","Private","NC","4 Year",0,8300,8300,98.11
"American Baptist College","Private","TN","4 Year",8640,10950,10950,98.09
"Miles College","Private","AL","4 Year",7042,11604,11604,98.09
"Selma University","Private","AL","4 Year",6400,7885,7885,97.67
"Paul Quinn College","Private","TX","4 Year",6000,8495,8495,97.44
"Boricua College","Private","NY","4 Year",0,11025,11025,97.16
"Central State University","Public","OH","4 Year",10232,6346,8346,97.09
"Leech Lake Tribal College","Public","MN","2 Year",0,4920,4920,96.97
"Atlanta Metropolitan State College","Public","GA","2 Year",0,4008,12088,96.88
"Denmark Technical College","Public","SC","2 Year",4024,5400,9150,96.72
"Nebraska Indian Community College","Public","NE","2 Year",0,5125,5125,96.67
"Atlanta Technical College","Public","GA","2 Year",0,3350,6020,96.57
"Martin University","Private","IN","4 Year",7810,16500,16500,96.27
"Rust College","Private","MS","4 Year",4300,9900,9900,96.16
"Coahoma Community College","Public","MS","2 Year",4420,2996,3446,96.14
"Oglala Lakota College","Public","SD","4 Year",0,3560,3560,95.94
